10	0	-10	0
9.99999	0.01	-9.99999	-0.01
9.99995	0.02	-9.99995	-0.02
9.99989	0.0299999	-9.99989	-0.0299999
9.9998	0.0399997	-9.9998	-0.0399997
9.99969	0.0499995	-9.99969	-0.0499995
9.99955	0.0599991	-9.99955	-0.0599991
9.99939	0.0699986	-9.99939	-0.0699986
9.9992	0.0799979	-9.9992	-0.0799979
9.99899	0.089997	-9.99899	-0.089997
9.99875	0.0999958	-9.99875	-0.0999958
9.99849	0.109994	-9.99849	-0.109994
9.9982	0.119993	-9.9982	-0.119993
9.99789	0.129991	-9.99789	-0.129991
9.99755	0.139989	-9.99755	-0.139989
9.99719	0.149986	-9.99719	-0.149986
9.9968	0.159983	-9.9968	-0.159983
9.99639	0.16998	-9.99639	-0.16998
9.99595	0.179976	-9.99595	-0.179976
9.99549	0.189971	-9.99549	-0.189971
9.995	0.199967	-9.995	-0.199967
9.99449	0.209961	-9.99449	-0.209961
9.99395	0.219956	-9.99395	-0.219956
9.99339	0.229949	-9.99339	-0.229949
9.9928	0.239942	-9.9928	-0.239942
9.99219	0.249935	-9.99219	-0.249935
9.99155	0.259927	-9.99155	-0.259927
9.99089	0.269918	-9.99089	-0.269918
9.9902	0.279908	-9.9902	-0.279908
9.98949	0.289898	-9.98949	-0.289898
9.98875	0.299887	-9.98875	-0.299887
9.98799	0.309876	-9.98799	-0.309876
9.9872	0.319863	-9.9872	-0.319863
9.98639	0.32985	-9.98639	-0.32985
9.98555	0.339836	-9.98555	-0.339836
9.98468	0.349821	-9.98468	-0.349821
9.9838	0.359805	-9.9838	-0.359805
9.98288	0.369789	-9.98288	-0.369789
9.98195	0.379771	-9.98195	-0.379771
9.98098	0.389753	-9.98098	-0.389753
9.97999	0.399733	-9.97999	-0.399733
9.97898	0.409713	-9.97898	-0.409713
9.97794	0.419691	-9.97794	-0.419691
9.97688	0.429668	-9.97688	-0.429668
9.97579	0.439645	-9.97579	-0.439645
9.97468	0.44962	-9.97468	-0.44962
9.97354	0.459594	-9.97354	-0.459594
9.97238	0.469567	-9.97238	-0.469567
9.97119	0.479539	-9.97119	-0.479539
9.96998	0.489509	-9.96998	-0.489509
9.96874	0.499478	-9.96874	-0.499478
9.96747	0.509446	-9.96747	-0.509446
9.96618	0.519413	-9.96618	-0.519413
9.96487	0.529379	-9.96487	-0.529379
9.96353	0.539343	-9.96353	-0.539343
9.96217	0.549306	-9.96217	-0.549306
9.96078	0.559267	-9.96078	-0.559267
9.95937	0.569227	-9.95937	-0.569227
9.95793	0.579186	-9.95793	-0.579186
9.95646	0.589143	-9.95646	-0.589143
9.95497	0.599098	-9.95497	-0.599098
9.95346	0.609052	-9.95346	-0.609052
9.95192	0.619005	-9.95192	-0.619005
9.95035	0.628956	-9.95035	-0.628956
9.94877	0.638905	-9.94877	-0.638905
9.94715	0.648853	-9.94715	-0.648853
9.94551	0.658799	-9.94551	-0.658799
9.94385	0.668744	-9.94385	-0.668744
9.94216	0.678687	-9.94216	-0.678687
9.94044	0.688628	-9.94044	-0.688628
9.9387	0.698567	-9.9387	-0.698567
9.93693	0.708505	-9.93693	-0.708505
9.93514	0.71844	-9.93514	-0.71844
9.93333	0.728374	-9.93333	-0.728374
9.93149	0.738306	-9.93149	-0.738306
9.92962	0.748237	-9.92962	-0.748237
9.92773	0.758165	-9.92773	-0.758165
9.92581	0.768092	-9.92581	-0.768092
9.92387	0.778016	-9.92387	-0.778016
9.92191	0.787939	-9.92191	-0.787939
9.91991	0.797859	-9.91991	-0.797859
9.9179	0.807778	-9.9179	-0.807778
9.91586	0.817694	-9.91586	-0.817694
9.91379	0.827608	-9.91379	-0.827608
9.9117	0.837521	-9.9117	-0.837521
9.90958	0.847431	-9.90958	-0.847431
9.90744	0.857339	-9.90744	-0.857339
9.90527	0.867245	-9.90527	-0.867245
9.90307	0.877148	-9.90307	-0.877148
9.90086	0.88705	-9.90086	-0.88705
9.89861	0.896949	-9.89861	-0.896949
9.89634	0.906846	-9.89634	-0.906846
9.89405	0.91674	-9.89405	-0.91674
9.89173	0.926632	-9.89173	-0.926632
9.88939	0.936522	-9.88939	-0.936522
9.88702	0.94641	-9.88702	-0.94641
9.88462	0.956295	-9.88462	-0.956295
9.8822	0.966177	-9.8822	-0.966177
9.87976	0.976058	-9.87976	-0.976058
9.87729	0.985935	-9.87729	-0.985935
9.87479	0.99581	-9.87479	-0.99581
9.87227	1.00568	-9.87227	-1.00568
9.86972	1.01555	-9.86972	-1.01555
9.86715	1.02542	-9.86715	-1.02542
9.86456	1.03528	-9.86456	-1.03528
9.86193	1.04515	-9.86193	-1.04515
9.85929	1.05501	-9.85929	-1.05501
9.85661	1.06486	-9.85661	-1.06486
9.85392	1.07472	-9.85392	-1.07472
9.85119	1.08457	-9.85119	-1.08457
9.84844	1.09442	-9.84844	-1.09442
9.84567	1.10426	-9.84567	-1.10426
9.84287	1.11411	-9.84287	-1.11411
9.84005	1.12395	-9.84005	-1.12395
9.8372	1.13378	-9.8372	-1.13378
9.83432	1.14362	-9.83432	-1.14362
9.83142	1.15345	-9.83142	-1.15345
9.8285	1.16328	-9.8285	-1.16328
9.82554	1.1731	-9.82554	-1.1731
9.82257	1.18292	-9.82257	-1.18292
9.81957	1.19274	-9.81957	-1.19274
9.81654	1.20256	-9.81654	-1.20256
9.81349	1.21237	-9.81349	-1.21237
9.81041	1.22218	-9.81041	-1.22218
9.80731	1.23199	-9.80731	-1.23199
9.80418	1.24179	-9.80418	-1.24179
9.80102	1.25159	-9.80102	-1.25159
